source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.81707E+16,165.475715,-24.69436814,55.07859449,23.90637863,20.98844247,0.200574597,-46.77717471,0.136787607,,,7.43856225,0.114029603,16.688633,18.366938,15.412904,134.4345811,-0.364941852,6.376039156,-118.2369009,30.63182174,-56.16389732
5.16163E+16,170.2788966,-24.84229929,58.42931281,20.83328628,20.04028412,0.102682889,-45.51877227,0.046142937,,,7.440226174,0.046241215,13.991986,14.99594,12.999422,134.4045163,-0.382221443,5.397347557,-120.2163515,20.59473144,-56.46644916
6.35278E+16,168.4735084,-25.69581692,56.5325469,21.34516499,19.99553373,0.495419114,-44.7703683,0.355036926,,,7.440466519,0.245512869,18.747461,20.923794,17.299152,134.4001747,-0.322243019,4.94946572,-118.6665847,24.20033805,-58.27514279
6.6702E+16,167.0555431,-21.85796412,58.352144,25.03513989,18.99631021,0.194064684,-46.28728692,0.123396565,,,7.44048418,0.104510632,16.632647,18.519768,15.322392,134.3998557,-0.595340872,5.69057687,-121.5678339,27.94223856,-50.03812828
7.00986E+16,164.8003334,-23.01832119,55.78162604,25.57460505,20.95672615,0.157624951,-45.97113856,0.112428192,,,7.440523386,0.080770419,16.119404,17.738722,14.872475,134.3991475,-0.296902923,5.850405764,-119.3709596,32.43182911,-52.55360427
6.82967E+16,165.6949701,-23.74358819,55.93219599,24.48753898,19.36766844,0.124137043,-46.2652367,0.087065198,,,7.440780136,0.069055803,15.173921,16.532553,14.017688,134.3945099,-0.543123675,5.739595125,-119.204476,30.39618868,-54.1132971
6.73697E+16,166.0921208,-21.37486658,57.98934033,25.99867223,19.56075308,0.152303871,-46.63497371,0.094390247,,,7.441524841,0.157199345,7.6333027,7.7222266,7.513097,134.3810605,-0.553428537,6.010459022,-121.469063,30.07847739,-48.97776395
6.98772E+16,165.2992212,-23.30958496,55.94994539,25.05301203,21.22166897,0.073694937,-45.94671629,0.041955728,,,7.441610093,0.0304715,13.925313,14.891198,12.9596815,134.379521,-0.257399177,5.888694504,-119.3714308,31.31844609,-53.17397962
6.51799E+16,166.4866721,-24.34011575,56.08703131,23.56093497,19.38550529,0.183240411,-46.4279152,0.095983859,,,7.441898171,0.088701212,15.82534,17.334522,14.607087,134.3743192,-0.556834707,5.846185387,-119.0409339,28.60869241,-55.38281711
6.83634E+16,165.311983,-23.81710165,55.58985269,24.66447771,20.57535568,0.065985802,-45.14373157,0.041402626,,,7.442000104,0.03182176,13.853169,14.794261,12.886034,134.3724786,-0.277835247,5.272728228,-118.9118795,31.16957248,-54.26219393
